,price_level,rating,user_ratings_total,lat,lng,names_clean,contacts,full_address,district,zip_code,opening_hours,food_type,food_type_2,phone,user_ratings_yelp,rating_yelp,price_level_yelp
12,2.0,4.2,208.0,52.5320981,13.4319409,a cabana,"[{'phone': [{'value': '+493040048508'}], 'www': [{'value': 'http://acabana.de', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'http://www.facebook.com/a.cabana.de', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'https://speisekarte.menu/restaurants/berlin/a-cabana-3'}]}]","A Cabana, Hufelandstraße 15, 10407 Berlin, Deutschland",Prenzlauer Berg,10407,Tue-Sun: 16:00 - 13:00,european,portuguese,493040048508.0,,,
13,2.0,4.7,2406.0,52.5194074,13.4275403,a mano,"[{'phone': [{'value': '+493095598243'}, {'value': '+4995598243', 'categories': [{'id': '100-1000-0000'}]}], 'www': [{'value': 'http://www.amano-ristorante.de', 'categories': [{'id': '100-1000-0000'}]}], 'email': [{'value': 'info@amano-ristorante.de', 'categories': [{'id': '100-1000-0000'}]}]}]","Ristorante A Mano, Strausberger Platz 2, 10243 Berlin, Deutschland",Friedrichshain,10243,Mon-Sun: 12:00 - 23:59,european,italian,493095598243.0,,,
14,2.0,4.5,1292.0,52.50634609999999,13.3198725,a never ever ending love story,[{'www': [{'value': 'https://www.facebook.com/a.never.ever.ending.love.story'}]}],"A Never Ever Ending Love Story, Bleibtreustraße 5, 10623 Berlin, Deutschland",Charlottenburg,10623,Mon-Sun: 08:00 - 17:00,european,breakfast,,,,
15,2.0,4.4,615.0,52.4905162,13.3250197,a telha,"[{'phone': [{'value': '+493075525316'}], 'www': [{'value': 'http://www.restaurant-a-telha.de'}, {'value': 'http://www.restaurant-a-telha.de/joomla/index.php'}], 'email': [{'value': 'info@restaurant-a-telha.de'}]}]","A Telha, Holsteinische Straße 17, 10717 Berlin, Deutschland",Wilmersdorf,10717,Mon-Sun: 17:00 - 23:59,european,spanish,493075525316.0,,,
16,2.0,4.1,736.0,52.5339935,13.4047789,aapka,"[{'phone': [{'value': '+493044010491', 'categories': [{'id': '100-1000-0000'}]}, {'value': '+493044010494'}], 'fax': [{'value': '030 44013393', 'categories': [{'id': '100-1000-0000'}]}], 'www': [{'value': 'http://www.aapka.de'}], 'email': [{'value': 'info@aapka.de', 'categories': [{'id': '100-1000-0000'}]}]}]","Aapka, Kastanienallee 50, 10119 Berlin, Deutschland","['Mitte', 'Prenzlauer Berg']",10119,Mon-Sat: 12:00 - 01:00,indian,asian,493044010491.0,,,
17,1.0,4.5,177.0,52.4945284,13.3011827,aarna devi,"[{'phone': [{'value': '+4915788677439'}, {'value': '+493088761380'}], 'www': [{'value': 'http://www.aarnarestaurant.com/profile.html'}]}]","Aarna Devi, Westfälische Straße 72A, 10709 Berlin, Deutschland","['Charlottenburg', 'Wilmersdorf', 'Halensee']",10709,Mon-Fri: 12:00 - 22:00,indian,indisch - südindisch,4915788677439.0,,,
18,2.0,4.5,471.0,52.57502119999999,13.5182931,aashirvad,"[{'phone': [{'value': '+493040048508'}, {'value': '+493075441205'}], 'www': [{'value': 'http://aashirvad.de'}]}]","Aashirvad, Lindenberger Straße 2, 13059 Berlin, Deutschland","['Wartenberg', 'Neu-Hohenschönhausen']",13059,Mon-Sun: 11:30 - 23:00,indian,indian,493040048508.0,,,
19,,4.3,349.0,52.5169674,13.4791856,aastha,"[{'phone': [{'value': '+493055491567', 'categories': [{'id': '100-1000-0000'}]}, {'value': '+493085735738', 'categories': [{'id': '100-1100-0000'}]}, {'value': '+493085765568'}], 'www': [{'value': 'http://aastha-restaurant.de', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'http://www.aastha.de', 'categories': [{'id': '100-1000-0000'}]}], 'email': [{'value': 'info@aastha.de', 'categories': [{'id': '100-1000-0000'}]}]}]","Aastha, Parkaue 35, 10367 Berlin, Deutschland","['Lichtenberg', 'Fennpfuhl']",10367,Mon-Sun: 11:30 - 23:00,indian,asian,493055491567.0,,,
20,2.0,4.4,821.0,52.5364793,13.4209017,abc,,"Abc-Restaurant, Rykestraße 13, 10405 Berlin, Deutschland",Prenzlauer Berg,10405,,european,brunch,,,,
21,1.0,4.6,405.0,52.492261,13.3944527,abirams,"[{'phone': [{'value': '+493069503103'}], 'www': [{'value': 'http://restaurantabirams.placeweb.site'}, {'value': 'http://www.restaurant-tafelhaus.de'}, {'value': 'https://www.facebook.com/pages/Abirams/132518216807759'}]}]","Abirams, Zossener Straße 12, 10961 Berlin, Deutschland",Kreuzberg,10961,Mon-Sun: 12:00 - 23:45,asian,indian,493069503103.0,,,
22,1.0,4.2,635.0,52.5105222,13.4562389,aceto lokanta,"[{'phone': [{'value': '+493020078786'}, {'value': '+493029044117', 'categories': [{'id': '100-1000-0000'}]}], 'www': [{'value': 'http://acetolokanta.de', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'http://acetolokanta.de/filialen-1', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0009'}]}]}]","Aceto Lokanta, Simon-Dach-Straße 12, 10245 Berlin, Deutschland",Friedrichshain,10245,Mon-Sun: 10:00 - 04:00,european,middle eastern,493020078786.0,,,
23,2.0,4.3,1853.0,52.4986732,13.2981211,ach niko ach,"[{'phone': [{'value': '+49303249779'}, {'value': '+4949303249779'}], 'fax': [{'value': '030 31016824'}], 'www': [{'value': 'http://www.achnikoach.de'}], 'email': [{'value': 'info@achnikoach.de'}]}]","Ach Niko Ach, Kurfürstendamm 97, 10709 Berlin, Deutschland","['Charlottenburg', 'Wilmersdorf', 'Halensee']",10709,Mon-Sun: 12:00 - 23:59,european,german,49303249779.0,,,
24,2.0,4.6,474.0,52.473283,13.3212481,achilles taverna,"[{'phone': [{'value': '+49308214455'}, {'value': '+4949308214455'}], 'www': [{'value': 'http://www.achilles-taverna.de'}], 'email': [{'value': 'info@achilles-taverna.de'}]}]","Achilles Taverna, Südwestkorso 15, 12161 Berlin, Deutschland","['Friedenau', 'Steglitz']",12161,Mon-Sun: 11:30 - 23:59,mediterranean,amerikanisch - barbecue,49308214455.0,,,
25,2.0,4.5,585.0,52.5254961,13.3914762,achtdreissig,"[{'phone': [{'value': '+493037465031'}], 'fax': [{'value': '030 37479033', 'categories': [{'id': '100-1000-0000'}]}], 'www': [{'value': 'http://www.restaurant38berlin.de'}], 'email': [{'value': 'info@restaurant38berlin.de', 'categories': [{'id': '100-1000-0000'}]}]}]","Acht&Dreißig, Oranienburger Straße 38, 10117 Berlin, Deutschland",Mitte,10117,Tue-Fri: 12:00 - 23:00,european,japanese,493037465031.0,,,
26,1.0,4.2,901.0,52.5099051,13.4555758,adam,"[{'phone': [{'value': '+493012032854'}, {'value': '+493020096441', 'categories': [{'id': '100-1000-0003'}]}, {'value': '+49493012032854', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0000'}]}], 'www': [{'value': 'http://m.facebook.com/arabic.adam.Restaurant', 'categories': [{'id': '100-1000-0000'}]}]}]","Adam Restaurant, Kopernikusstraße 16, 10245 Berlin, Deutschland",Friedrichshain,10245,,european,middle eastern,493012032854.0,,,
27,,4.8,108.0,52.4994513,13.4273898,adana grillhaus,"[{'phone': [{'value': '+49306127790'}, {'value': '+493082409600'}, {'value': '+4949306127790'}], 'www': [{'value': 'http://adanagrillhaus.de/english'}, {'value': 'http://www.adanagrillhaus.de'}, {'value': 'http://www.adanagrillhausberlin.de'}], 'email': [{'value': 'adanagrillhausberlin@gmail.com'}, {'value': 'info@adanagrill.com'}]}]","Adana Grillhaus, Manteuffelstraße 86, 10997 Berlin, Deutschland",Kreuzberg,10997,"Mon-Sat: 00:00 - 02:00, 12:00 - 23:59",american,middle eastern,49306127790.0,,,
28,1.0,4.7,99.0,52.5576302,13.3772231,adanus cigkofte,"[{'phone': [{'value': '+491787040514', 'categories': [{'id': '100-1000-0000'}]}, {'value': '+493055613474'}], 'www': [{'value': 'http://www.adanuscigkofte.de', 'categories': [{'id': '600-6300-0066'}, {'id': '600-6300-0244'}]}]}]","Adanus Çiğköfte, Drontheimer Straße 4, 13359 Berlin, Deutschland","['Wedding', 'Gesundbrunnen']",13359,Mon-Fri: 11:00 - 22:00,turkish,turkish,491787040514.0,,,
29,2.0,4.3,183.0,52.5033253,13.3166824,adnan,"[{'phone': [{'value': '+493054710590'}], 'www': [{'value': 'http://m.facebook.com/restaurantadnan', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'http://www.adnan.berlin', 'categories': [{'id': '100-1000-0000'}]}]}]","Adnan, Schlüterstraße 33, 10629 Berlin, Deutschland",Charlottenburg,10629,Mon-Sun: 12:00 - 23:45,european,italian,493054710590.0,,,
30,2.0,4.6,190.0,52.4338652,13.3419134,adria grill,"[{'phone': [{'value': '+49308738567'}, {'value': '+4949308738567', 'categories': [{'id': '100-1000-0000'}]}], 'www': [{'value': 'http://www.restaurant-tafelhaus.de', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0009'}]}]}]","Adria Grill, Berliner Straße 141, 10715 Berlin, Deutschland",Wilmersdorf,10715,Mon-Sun: 12:00 - 23:00,steak,european,49308738567.0,,,
31,1.0,4.6,498.0,52.53640069999999,13.268896,adriagrill,"[{'phone': [{'value': '+49303811084'}, {'value': '+4949303811084'}], 'www': [{'value': 'http://www.adria-grill-berlin.de'}, {'value': 'https://info262314.wixsite.com/website'}]}]","Adria-Grill, Nonnendammallee 84A, 13629 Berlin, Deutschland","['Charlottenburg-Nord', 'Tegel', 'Siemensstadt']",13629,,balkan,international,49303811084.0,,,
32,,4.9,17.0,52.538534,13.41043,aftab,,"Aftab, Kastanienallee 90, 10435 Berlin, Deutschland","['Mitte', 'Prenzlauer Berg']",10435,,middle eastern,middle eastern,,,,
33,1.0,4.5,432.0,52.5245962,13.3271798,agni,"[{'phone': [{'value': '+4917649220550'}], 'www': [{'value': 'http://www.restaurant-agni.de'}], 'email': [{'value': 'info@restaurant-agni.de'}]}]","Agni, Kaiserin-Augusta-Allee 1, 10553 Berlin, Deutschland",Moabit,10553,"Mon-Thu: 11:00 - 15:00, 18:00 - 22:00",asian,indian,4917649220550.0,,,
34,2.0,4.3,269.0,52.5095345,13.4120648,agora,"[{'phone': [{'value': '+491633717556', 'categories': [{'id': '700-7200-0264'}]}, {'value': '+493028444898'}], 'www': [{'value': 'http://agoraberlin.com', 'categories': [{'id': '700-7200-0264'}]}, {'value': 'http://www.facebook.com/AgoraRestaurantBerlin', 'categories': [{'id': '100-1000-0000'}]}]}]","Agora, Annenstraße, 10179 Berlin, Deutschland",Mitte,10179,Mon-Sun: 12:00 - 22:00,mediterranean,grilled,491633717556.0,,,
35,1.0,4.4,168.0,52.5244357,13.3491512,agra,"[{'phone': [{'value': '+493091461655'}, {'value': '+493091519664'}]}]","Agra, Alt-Moabit 107, 10559 Berlin, Deutschland",Moabit,10559,Mon-Sun: 11:30 - 22:00,indian,pakistani,493091461655.0,,,
36,1.0,4.6,208.0,52.43370119999999,13.3416979,ahiah,"[{'phone': [{'value': '+493013896461'}], 'www': [{'value': 'https://www.ahiah.online', 'categories': [{'id': '100-1000-0000'}]}]}]","Ahiah, Kaiser-Wilhelm-Straße 53, 12247 Berlin, Deutschland","['Steglitz', 'Lankwitz']",12247,Tue-Fri: 15:00 - 21:00,asian,vietnamese,493013896461.0,,,
37,2.0,4.3,964.0,52.4958912,13.4054104,ahorn,"[{'phone': [{'value': '+493022376137'}, {'value': '+493060059888'}, {'value': '+49493060059888', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0001'}]}], 'www': [{'value': 'http://www.kaffee-ahorn.de'}, {'value': 'https://www.ahorn-berlin.info'}], 'email': [{'value': 'ahorn.kaffee@gmail.com', 'categories': [{'id': '100-1000-0000'}]}]}]","A.Horn, Carl-Herz-Ufer 9, 10961 Berlin, Deutschland",Kreuzberg,10961,Mon-Sun: 09:00 - 24:00,european,german,493022376137.0,,,
38,2.0,4.5,573.0,52.5068333,13.3228333,aida,"[{'phone': [{'value': '+493031806750'}], 'www': [{'value': 'aida-restaurant.de', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'http://aida-ristorante.de', 'categories': [{'id': '100-1000-0000'}]}], 'email': [{'value': 'aida-camillo@web.de', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'webmaster@aida-ristorante.de', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0000'}]}]}]","Aida, Knesebeckstraße 83, 10623 Berlin, Deutschland",Charlottenburg,10623,Mon-Sat: 11:30 - 12:00,european,italian,493031806750.0,,,
39,2.0,4.2,1647.0,52.53053749999999,13.4003995,aiko,[{'phone': [{'value': '+493070760681'}]}],"Aiko, Walther-Schreiber-Platz 1, 12161 Berlin, Deutschland","['Friedenau', 'Steglitz']",12161,Mon-Sat: 12:00 - 19:00,asian,japanese,493070760681.0,,,
40,1.0,4.2,41.0,52.4646521,13.3266846,aiko sushi,"[{'phone': [{'value': '+493070760681'}], 'www': [{'value': 'http://www.kikocosmetics.de', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'http://www.vv-asia-gastro.de', 'categories': [{'id': '100-1100-0000'}]}]}]","Aiko Sushi, Schloßstraße 1, 12163 Berlin, Deutschland","['Friedenau', 'Steglitz']",12163,Mon-Sat: 10:00 - 20:00,asian,japanese,493070760681.0,,,
41,1.0,4.2,235.0,52.5084455,13.3199556,ajanta,"[{'phone': [{'value': '+493031016116'}], 'www': [{'value': 'http://www.ajanta-berlin.de', 'categories': [{'id': '100-1000-0000'}]}], 'email': [{'value': 'info@ajanta-koepenick.de', 'categories': [{'id': '100-1000-0000'}]}]}]","Ajanta, Grolmanstraße 15, 10623 Berlin, Deutschland",Charlottenburg,10623,Mon-Sun: 11:00 - 23:59,indian,international,493031016116.0,,,
42,1.0,4.8,335.0,52.5050293,13.4071324,akcaabat saray kofte,"[{'phone': [{'value': '+4915237038463'}, {'value': '+4915777278604'}]}]","Akcaabat Saray Köfte, Oranienstraße 72, 10969 Berlin, Deutschland",Kreuzberg,10969,Mon-Sat: 10:00 - 22:00,middle eastern,halal,4915237038463.0,,,
43,1.0,4.4,1260.0,52.4604768,13.3233171,akiko sushi,"[{'phone': [{'value': '+493079744564'}], 'www': [{'value': 'http://akikosushi.de/index.php?option=com_content&view=article&id=52', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'http://www.akikosushi-berlin.de', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'http://www.akikosushi.de', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0000'}]}]}]","Akiko Sushi, Ahornstraße 32, 12163 Berlin, Deutschland","['Friedenau', 'Steglitz']",12163,Mon-Sun: 12:00 - 23:00,asian,japanese,493079744564.0,,,
44,2.0,4.3,240.0,52.5300637,13.3834849,akito sushi express,"[{'phone': [{'value': '+493021547854'}, {'value': '+493028093586'}], 'www': [{'value': 'http://akito-berlin.de/sushi-express'}]}]","Akito Sushi Express, Chausseestraße 116, 10115 Berlin, Deutschland",Mitte,10115,Mon-Fri: 11:30 - 22:30,asian,japanese,493021547854.0,,,
45,,4.9,394.0,52.5104212,13.4528048,akkawy,"[{'phone': [{'value': '+493027598000'}], 'www': [{'value': 'http://www.akkawy.de'}]}]","Akkawy, Kopernikusstraße 8, 10245 Berlin, Deutschland",Friedrichshain,10245,Tue-Sun: 11:00 - 23:00,middle eastern,lebanese,493027598000.0,,,
46,1.0,4.3,906.0,52.5518802,13.3812224,akko,[{'phone': [{'value': '+493049807544'}]}],"Akko Restaurant, Badstraße 52, 13357 Berlin, Deutschland","['Wedding', 'Gesundbrunnen']",13357,Mon-Sun: 09:00 - 22:00,middle eastern,middle eastern,493049807544.0,,,
47,2.0,4.6,1342.0,52.5282333,13.5399357,akropolis,"[{'phone': [{'value': '+4915788965657'}, {'value': '+49303245539'}, {'value': '+493045087555'}, {'value': '+493098335687'}], 'www': [{'value': 'http://www.taverna-akropolis.berlin'}]}]","Akropolis, Wielandstraße 38, 10629 Berlin, Deutschland",Charlottenburg,10629,Mon-Sun: 16:00 - 13:00,mediterranean,amerikanisch - barbecue,4915788965657.0,,,
48,1.0,4.2,127.0,52.4856918,13.4321697,akroum snack,[{'phone': [{'value': '+493023619319'}]}],"Akroum Snack, Sonnenallee 45, 12045 Berlin, Deutschland",Neukölln,12045,,middle eastern,middle eastern,493023619319.0,,,
49,2.0,4.3,195.0,52.5336469,13.4283031,al andalus,"[{'phone': [{'value': '+493044310996'}], 'www': [{'value': 'https://www.al-andalus-berlin.de', 'categories': [{'id': '100-1000-0000'}]}], 'email': [{'value': 'alandalus.berlin@gmail.com', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'alandalusberlin@gmail.com'}]}]","Al Ándalus, Marienburger Straße 29, 10405 Berlin, Deutschland",Prenzlauer Berg,10405,"Mon-Fri, Sun: 17:30 - 24:00",mediterranean,european,493044310996.0,,,
50,3.0,4.4,466.0,52.5277641,13.4013892,al contadino sotto le stelle,"[{'phone': [{'value': '+49302819023'}, {'value': '+4949302819023'}], 'fax': [{'value': '030 2819005', 'categories': [{'id': '100-1000-0000'}]}], 'www': [{'value': 'http://www.alcontadino.com', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'www.alcontadino.eu', 'categories': [{'id': '100-1000-0000'}]}], 'email': [{'value': 'info@alcontadino.eu'}]}]","Al Contadino Sotto le Stelle, Auguststraße 36, 10119 Berlin, Deutschland","['Mitte', 'Prenzlauer Berg']",10119,Mon-Sun: 18:00 - 24:00,european,italian,49302819023.0,,,
51,,4.9,59.0,52.429558,13.3230988,al dente,"[{'phone': [{'value': '+493055238025'}], 'www': [{'value': 'http://www.aldente-karlshorst.de'}]}]","Al Dente, Ehrlichstraße 30, 10318 Berlin, Deutschland",Karlshorst,10318,Mon-Fri: 15:00 - 23:00,european,italian,493055238025.0,,,
52,2.0,4.3,937.0,52.5417478,13.4210226,al hamra,"[{'phone': [{'value': '+491791068287', 'categories': [{'id': '500-5100-0055'}]}, {'value': '+49303042850095', 'categories': [{'id': '700-7400-0285'}]}, {'value': '+493042850095'}], 'fax': [{'value': '030 42850094', 'categories': [{'id': '100-1000-0000'}, {'id': '200-2000-0011'}]}], 'www': [{'value': 'http://www.alhamra.de', 'categories': [{'id': '100-1000-0000'}, {'id': '200-2000-0011'}]}], 'email': [{'value': 'bar@alhamra.de', 'categories': [{'id': '100-1000-0000'}, {'id': '200-2000-0011'}]}]}]","Al Hamra, Raumerstraße 16, 10437 Berlin, Deutschland",Prenzlauer Berg,10437,"Mon-Sat: 00:00 - 01:00, 09:00 - 23:59",middle eastern,brunch,491791068287.0,,,
53,1.0,4.7,93.0,52.5653036,13.4057319,al letany insel,[{'phone': [{'value': '+493040049661'}]}],"Al Letany Insel, Florastraße 34A, 13187 Berlin, Deutschland",Pankow,13187,"Mon-Fri, Sun: 11:30 - 22:00",middle eastern,middle eastern,493040049661.0,,,
54,1.0,3.8,124.0,52.52017009999999,13.4500194,al mondo,"[{'phone': [{'value': '+493042027202'}], 'www': [{'value': 'http://www.ristorantealmondo.de'}]}]","Al Mondo, Mühsamstraße 45, 10249 Berlin, Deutschland","['Prenzlauer Berg', 'Friedrichshain']",10249,Mon-Sun: 11:00 - 23:00,european,pizza,493042027202.0,,,
55,1.0,3.9,270.0,52.4836227,13.4366244,al pasha,[{'phone': [{'value': '+491796583207'}]}],"Al Pasha, Sonnenallee 77, 12045 Berlin, Deutschland",Neukölln,12045,Mon-Sun: 08:00 - 15:00,middle eastern,mediterranean,491796583207.0,,,
56,1.0,4.7,119.0,52.4989706,13.3931903,al sultan bistro,"[{'phone': [{'value': '+4917653387672', 'categories': [{'id': '100-1000-0000'}]}, {'value': '+491781892067'}], 'www': [{'value': 'http://m.facebook.com/Al-Sultan-Bistro-275860706425624', 'categories': [{'id': '100-1000-0009'}]}]}]","Al Sultan Bistro, Mehringplatz 6, 10969 Berlin, Deutschland",Kreuzberg,10969,,middle eastern,lebanese,4917653387672.0,,,
57,2.0,4.3,202.0,52.42961889999999,13.4551342,al teatro,"[{'phone': [{'value': '+493060250912', 'categories': [{'id': '100-1100-0010'}]}, {'value': '+49306032010'}, {'value': '+4949306032010', 'categories': [{'id': '100-1000-0000'}, {'id': '600-6300-0064'}]}], 'www': [{'value': 'http://www.alteatro.de', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0000'}, {'id': '600-6300-0067'}]}], 'email': [{'value': 'info@alteatro.de', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0000'}]}]}]","Al Teatro, Johannisthaler Chaussee 307, 12351 Berlin, Deutschland","['Britz', 'Buckow', 'Gropiusstadt', 'Rudow']",12351,Mon-Fri: 09:00 - 20:00,european,italian,493060250912.0,,,
58,,4.1,36.0,52.5611646,13.5001605,alanya grill,,"Alanya Grill, Hansastraße 246, 13051 Berlin, Deutschland","['Malchow', 'Alt-Hohenschönhausen', 'Wartenberg', 'Neu-Hohenschönhausen', 'Blankenburg', 'Stadtrandsiedlung Malchow']",13051,,turkish,middle eastern,,,,
59,1.0,3.8,219.0,52.4906845,13.3871204,alarz,"[{'phone': [{'value': '+491741650646', 'categories': [{'id': '100-1000-0000'}]}, {'value': '+49306941934'}, {'value': '+4949306941934', 'categories': [{'id': '100-1000-0000'}]}]}]","Al-Arz, Mehringdamm 63, 10961 Berlin, Deutschland",Kreuzberg,10961,Mon-Sun: 09:30 - 01:00,asian,middle eastern,491741650646.0,,,
60,2.0,4.6,401.0,52.4785665,13.324511,alas mediterraneum,"[{'phone': [{'value': '+4917672610024'}, {'value': '+49308536592'}, {'value': '+4949308536592'}], 'www': [{'value': 'http://www.alasmediterraneum.com'}]}]","Alas Mediterraneum, Detmolder Straße 59, 10715 Berlin, Deutschland",Wilmersdorf,10715,Tue-Sun: 16:00 - 20:00,mediterranean,middle eastern,4917672610024.0,,,
61,,4.7,532.0,52.4829207,13.4287199,alaska,"[{'phone': [{'value': '+493023914138'}], 'www': [{'value': 'http://m.facebook.com/alaskabarberlin', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'http://www.alaskabar.de', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0000'}, {'id': '200-2000-0011'}]}]}]","Alaska, Reuterstraße 85, 12053 Berlin, Deutschland",Neukölln,12053,"Tue-Thu, Sun: 18:00 - 13:00",vegetarian or vegan,european,493023914138.0,,,
62,1.0,4.3,109.0,52.481511,13.4320881,alassil,[{'phone': [{'value': '+493065007442'}]}],"Alassil, Flughafenstraße 13, 12053 Berlin, Deutschland",Neukölln,12053,"Mon-Thu, Sun: 10:00 - 01:00",middle eastern,lebanese,493065007442.0,,,
