,Unnamed: 0,alias,name,url,review_count,rating,price,phone,display_phone,distance,food_type,food_type_2,lon,lat,full_address,zip_code
17,17,cafe-und-grill-berlin,Cafe & Grill,https://www.yelp.com/biz/cafe-und-grill-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,7,4.5,€,,,51.94555093682759,kebab,currysausage,13.3133667334914,52.490658534247,Fehrbelliner Platz 8,10707
19,19,safran-grill-berlin,Safran Grill,https://www.yelp.com/biz/safran-grill-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,1,4.0,,,,55.22704308412293,kebab,foodstands,13.3134146779776,52.4906632296171,Fehrbelliner Platz 5,10707
21,21,thaipark-im-preußenpark-berlin,Thaipark im Preußenpark,https://www.yelp.com/biz/thaipark-im-preu%C3%9Fenpark-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,105,4.5,€,,,79.32840427075891,thai,localflavor,13.3117852714112,52.4929289565313,Brandenburgische Straße,10707
23,23,cafe-eulinchen-berlin,Cafe Eulinchen,https://www.yelp.com/biz/cafe-eulinchen-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,1,5.0,,+493094041540,+49 30 94041540,39.57477198563929,cafes,NaN,13.3131848585508,52.4959896691891,Bayerische Str.12,10707
24,24,lychee-berlin,Lychee,https://www.yelp.com/biz/lychee-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,38,4.5,€€,+493088717926,+49 30 88717926,59.14940244855672,chinese,NaN,13.31359,52.49702,Bayerische Str. 9,10707
25,25,tajine-berlin,Tajine,https://www.yelp.com/biz/tajine-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,1,5.0,,+493049088341,+49 30 49088341,60.57261300253866,moroccan,arabian,13.3117279037833,52.4979416754559,Konstanzer Str. 5,10707
27,27,la-gioconda-berlin,La Gioconda,https://www.yelp.com/biz/la-gioconda-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,4,5.0,€€,+493088773922,+49 30 88773922,60.450019987805554,italian,NaN,13.3129758387207,52.4992229913957,Olivaer Platz 16,10707
28,28,la-vigna-berlin,La Vigna,https://www.yelp.com/biz/la-vigna-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,4,4.5,€€€,+49308835416,+49 30 8835416,61.796262235787,italian,wine_bars,13.3134,52.499,Bregenzer Str. 9,10707
29,29,ristorante-numero-uno-berlin,Ristorante Numero Uno,https://www.yelp.com/biz/ristorante-numero-uno-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,4,4.0,,+493070082849,+49 30 70082849,83.58023780330981,italian,NaN,13.31249,52.49951,Olivaer Platz 18,10707
36,36,subway-berlin-23,Subway,https://www.yelp.com/biz/subway-berlin-23?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,7,2.5,€,+493025291100,+49 30 25291100,75.93082332452325,hotdogs,sandwiches,13.31216,52.50011,Kurfuerstendamm 180,10707
39,39,nußbaumerin-berlin,Nußbaumerin,https://www.yelp.com/biz/nu%C3%9Fbaumerin-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,62,4.5,€€,+493050178033,+49 30 50178033,6.318399233725597,austrian,NaN,13.31252,52.50146,Leibnizstr. 55,10629
40,40,hanois-corner-berlin,Hanoi's Corner,https://www.yelp.com/biz/hanois-corner-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,8,4.5,€,+493088628865,+49 30 88628865,39.30460886399798,vietnamese,sushi,13.3129997,52.5018082,Leibnizstr. 56,10629
41,41,samos-berlin,Samos,https://www.yelp.com/biz/samos-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,43,4.0,€€,+49308836111,+49 30 8836111,58.37038416975597,greek,NaN,13.313,52.5019,Leibnizstr. 56,10629
42,42,kant-café-berlin-4,Kant Café,https://www.yelp.com/biz/kant-caf%C3%A9-berlin-4?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,4,3.5,,+493031800777,+49 30 31800777,89.6674461610619,cafes,NaN,13.3138,52.50164,Walter-Benjamin-Platz 8,10629
48,48,tavola-calda-berlin,Tavola Calda,https://www.yelp.com/biz/tavola-calda-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,4,5.0,€€,+49303241048,+49 30 3241048,106.37282977406556,italian,NaN,13.3138418197632,52.5038256475834,Leibnizstr. 45,10629
49,49,kame-japanese-bakery-und-café-berlin-2,kame japanese bakery & café,https://www.yelp.com/biz/kame-japanese-bakery-und-caf%C3%A9-berlin-2?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,30,4.0,€€,+493085743549,+49 30 85743549,105.84242888636466,cafes,bakeries,13.3137899,52.50379,Leibnizstr. 45,10629
52,52,ano-kato-berlin-2,Ano Kato,https://www.yelp.com/biz/ano-kato-berlin-2?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,24,2.0,€€,+493085974151,+49 30 85974151,114.9260672459586,greek,NaN,13.3137183539673,52.5058203152026,Leibnizstr. 70,10625
53,53,son-kitchen-berlin,Son Kitchen,https://www.yelp.com/biz/son-kitchen-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,27,4.5,€,+493022474444,+49 30 22474444,99.9733450912802,korean,NaN,13.3118478134918,52.5067146970085,Kantstr. 46,10625
54,54,xxx-ramen-berlin,XXX Ramen,https://www.yelp.com/biz/xxx-ramen-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,9,3.5,,+491782692017,+49 178 2692017,96.60363196640472,japanese,NaN,13.313591,52.506569,Leibnizstr.  70 b,10625
55,55,la-piadina-berlin-3,La Piadina,https://www.yelp.com/biz/la-piadina-berlin-3?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,8,4.5,€,+493081724731,+49 30 81724731,65.42572919155084,bistros,italian,13.31325,52.50613,Kantstr. 130,10625
60,60,l-olivo-berlin,L'Olivo,https://www.yelp.com/biz/l-olivo-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,10,4.5,€€€,+493032303997,+49 30 32303997,90.16738261781114,italian,NaN,13.3138,52.5072,Leibnizstr. 74,10625
61,61,ristorante-biscotti-berlin-3,Ristorante Biscotti,https://www.yelp.com/biz/ristorante-biscotti-berlin-3?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,30,4.5,€€€,+49303123937,+49 30 3123937,55.72013838475503,italian,NaN,13.3117900230793,52.5078251002748,Pestalozzistr. 88,10625
63,63,wohntraum-berlin,Wohntraum,https://www.yelp.com/biz/wohntraum-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,4,5.0,€,+491787711649,+49 178 7711649,86.09248499962513,cafes,NaN,13.3117199,52.5092697,Weimarer Str. 35,10625
64,64,va-forte-pizza-pasta-bar-berlin,Va Forte Pizza - Pasta - Bar,https://www.yelp.com/biz/va-forte-pizza-pasta-bar-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,7,4.0,€€,,,78.76814860569674,italian,NaN,13.3137619,52.5087124,10625 Berlin,10625
65,65,sing-le-berlin,Sing-Le,https://www.yelp.com/biz/sing-le-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,20,3.0,€€,+493031004966,+49 30 31004966,87.25438988592141,panasian,NaN,13.3138906460327,52.5086862799634,Leibnizstr. 20,10625
67,67,schweighofers-berlin-2,Schweighofer's,https://www.yelp.com/biz/schweighofers-berlin-2?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,27,3.5,€€€,+49303130127,+49 30 3130127,61.374313843398326,austrian,soup,13.3117,52.5096,Weimarer Str. 12,10625
68,68,makénéné-berlin,Makénéné,https://www.yelp.com/biz/mak%C3%A9n%C3%A9n%C3%A9-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,5,3.5,€€,+493065773256,+49 30 65773256,96.11477216342168,african,cocktailbars,13.313828,52.510891,Schillerstr. 20,10625
70,70,sushi-berlin-berlin-2,Sushi Berlin,https://www.yelp.com/biz/sushi-berlin-berlin-2?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,16,4.0,€€,+493031509561,+49 30 31509561,51.30919995209198,sushi,NaN,13.3121482,52.5117212,Bismarckstr. 100,10625
71,71,nin-hao-berlin,Nin Hao,https://www.yelp.com/biz/nin-hao-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,39,4.0,€€,+493036702028,+49 30 36702028,43.675535377763154,chinese,NaN,13.311957609787,52.51225205789,Bismarckstr. 24,10625
72,72,tortenhebär-weincafe-an-der-oper-berlin,"TortenheBär, Weincafe an der Oper",https://www.yelp.com/biz/tortenheb%C3%A4r-weincafe-an-der-oper-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,1,5.0,,+493034540304,+49 30 34540304,78.1647395037321,bars,cafes,13.3125655149855,52.5129565829002,Zauritzweg 9,10585
75,75,voson-bilash-berlin-4,Voson Bilash,https://www.yelp.com/biz/voson-bilash-berlin-4?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,1,5.0,€€,+493047594979,+49 30 47594979,89.05675529904454,bangladeshi,NaN,13.313294,52.524715,Goslarer Platz 5,10589
77,77,pizzamax-berlin-2,Pizzamax,https://www.yelp.com/biz/pizzamax-berlin-2?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,7,2.0,€€,+49303447078,+49 30 3447078,110.25649476145682,pizza,NaN,13.31133,52.52556,Kaiserin-Augusta-Allee 92,10589
78,78,pizzeria-da-lio-berlin,Pizzeria Da Lio,https://www.yelp.com/biz/pizzeria-da-lio-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,3,4.5,€,+493054825680,+49 30 54825680,44.91461004245403,italian,NaN,13.3122,52.5261,Kaiserin-Augusta-Allee 37,10589
79,79,sanderella-delights-berlin,Sanderella Delight's,https://www.yelp.com/biz/sanderella-delights-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,2,2.5,,+493081805121,+49 30 81805121,93.44694840415708,mediterranean,arabian,13.31129,52.52604,Kaiserin-Augusta-Allee 38,10589
83,83,stellis-kult-curry-berlin-2,Stelli's Kult Curry,https://www.yelp.com/biz/stellis-kult-curry-berlin-2?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,2,3.0,€,,,45.062916279564895,hotdogs,NaN,13.3124,52.5451,Friedrich-Olbricht-Damm 65,13627
87,87,pastis-berlin,Pastis,https://www.yelp.com/biz/pastis-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,53,4.0,€€€,+493081055769,+49 30 81055769,41.6750489259771,french,NaN,13.314698,52.472532,Rüdesheimer Str. 9,14197
89,89,pizza-e-pasta-berlin-4,Pizza E Pasta,https://www.yelp.com/biz/pizza-e-pasta-berlin-4?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,7,4.0,€,+493082007546,+49 30 82007546,39.22011024193164,italian,pizza,13.314667,52.472585,Rüdesheimer Str. 9,14197
92,92,coffee-lounge-r3-berlin-2,Coffee Lounge R3,https://www.yelp.com/biz/coffee-lounge-r3-berlin-2?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,2,3.5,€€,+49493074459255,+49 4930 74459255,105.57207581452022,cafes,NaN,13.315355,52.474036,Rüdesheimer Str. 1,14197
98,98,engels-imbiss-berlin,Engel's Imbiss,https://www.yelp.com/biz/engels-imbiss-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,10,4.0,€€€,,,81.14349107587373,currysausage,NaN,13.3148,52.4903,Fehrbelliner Platz,10707
100,100,truc-xinh-berlin,Truc-xinh,https://www.yelp.com/biz/truc-xinh-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,3,5.0,€,+493086208562,+49 30 86208562,78.34456178018901,vietnamese,chinese,13.3141517661315,52.4904164997054,U Fehrbelliner Platz,10707
101,101,parkcafe-berlin,Parkcafé Berlin,https://www.yelp.com/biz/parkcafe-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,123,3.5,€€,+493086313838,+49 30 86313838,67.22578700762077,cafes,beergarden,13.314437,52.49118,Fehrbelliner Platz 8,10707
107,107,ff-express-berlin,FF Express,https://www.yelp.com/biz/ff-express-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,1,1.0,€€€,,,92.1499990304453,pizza,NaN,13.3152298629284,52.4910649881271,Fehrbelliner Platz 1 - 3,10707
112,112,georgios-restaurant-berlin,Georgios Restaurant,https://www.yelp.com/biz/georgios-restaurant-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,29,4.0,€€,+49308831746,+49 30 8831746,22.05707947363389,greek,NaN,13.31403,52.49701,Bayerische Str. 26,10707
113,113,restaurant-vogelweide-berlin,Restaurant Vogelweide,https://www.yelp.com/biz/restaurant-vogelweide-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,29,3.5,€€,+493088678040,+49 30 88678040,89.96888644060604,austrian,NaN,13.3148485950947,52.4984915160123,Bayerische Str. 32,10707
115,115,pho-56-berlin-2,Pho 56,https://www.yelp.com/biz/pho-56-berlin-2?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,15,4.0,€€,+493088716686,+49 30 88716686,17.306403040580253,vietnamese,NaN,13.314293,52.498822,Olivaer Platz 4,10707
119,119,ttp-sushi-berlin-2,TTP Sushi,https://www.yelp.com/biz/ttp-sushi-berlin-2?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,86,3.5,€,+493088709887,+49 30 88709887,84.17523536974446,sushi,japanese,13.31533,52.49873,Olivaer Platz 6,10707
120,120,restaurant-phoenicia-berlin-2,Restaurant Phoenicia,https://www.yelp.com/biz/restaurant-phoenicia-berlin-2?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,14,4.0,€€,+493088916666,+49 30 88916666,48.78429064314456,lebanese,NaN,13.3144653,52.5000048,Olivaer Platz 15,10707
121,121,la-caleta-berlin,La Caleta,https://www.yelp.com/biz/la-caleta-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,14,4.5,€€€,+493088627475,+49 30 88627475,100.56511231082348,spanish,NaN,13.3151138664476,52.5002851690344,Wielandstr. 26 a,10707
132,132,enoiteca-il-calice-berlin,Enoiteca Il Calice,https://www.yelp.com/biz/enoiteca-il-calice-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,33,3.5,€€€,+49303242308,+49 30 3242308,87.36400368386214,italian,NaN,13.3150138910044,52.5019813817276,Walter-Benjamin-Platz 4,10629
133,133,leibniz-klause-berlin-3,Leibniz Klause,https://www.yelp.com/biz/leibniz-klause-berlin-3?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,37,4.0,€€€,+49303237068,+49 30 3237068,41.29961240663884,german,NaN,13.31363,52.50275,Leibnizstr. 46,10629
145,145,cucina-comoda-berlin-3,Cucina Comoda,https://www.yelp.com/biz/cucina-comoda-berlin-3?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,19,4.0,€€€,+493031102869,+49 30 31102869,95.32904061578672,italian,NaN,13.31539,52.5045,Wielandstr. 11,10629
146,146,el-borriquito-berlin-3,El Borriquito,https://www.yelp.com/biz/el-borriquito-berlin-3?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,162,4.0,€€,+49303129929,+49 30 3129929,113.08131200273522,spanish,NaN,13.3152,52.5058,Wielandstr. 6,10625
149,149,furusato-berlin,Furusato,https://www.yelp.com/biz/furusato-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,24,4.5,€€,+49303137575,+49 30 3137575,73.55780904645783,korean,NaN,13.3142,52.5066,Leibnizstr. 35,10625
153,153,stavros-grill-und-more-berlin,Stavros Grill & More,https://www.yelp.com/biz/stavros-grill-und-more-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,1,4.0,,+493022666624,+49 30 22666624,50.74452788293511,greek,NaN,13.314824,52.506029,Kantstr. 132,10625
154,154,dao-by-meo-berlin,DAO by Meo,https://www.yelp.com/biz/dao-by-meo-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,82,4.0,€€,+493037591414,+49 30 37591414,69.90735350328002,thai,cookingschools,13.31513,52.50603,Kantstr. 133,10625
155,155,karun-bistro-2-berlin,Karun Bistro 2,https://www.yelp.com/biz/karun-bistro-2-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,4,4.5,€€,+493049206217,+49 30 49206217,82.79916559610433,persian,arabian,13.3150096339464,52.5064316752939,Kantstr. 36,10625
156,156,by-ali-bistro-berlin,By Ali Bistro,https://www.yelp.com/biz/by-ali-bistro-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,3,3.5,,+491713787611,+49 171 3787611,66.64874051457373,kebab,NaN,13.31472,52.50642,Kantstr. 38,10625
