,Unnamed: 0,name,distance,contacts,chains,lon,lat,full_address,district,zip_code,street,house_nr,opening_hours,food_type,food_type_2,phone
10,10,Restaurant Taste,154,"[{'phone': [{'value': '+493067928120'}], 'www': [{'value': 'https://www.facebook.com/Taste-Singapore-Style-Fusion-Kitchen-1653732698234126', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'https://app.resmio.com/restaurant-taste/widget', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'http://taste-singa.de'}], 'email': [{'value': 'mita.taste15@gmail.com', 'categories': [{'id': '100-1000-0000'}]}]}]",,13.32896,52.52411,"Restaurant Taste, Alt-Moabit 54, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,54,"Mon-Fri, Sun: 12:00 - 23:59",Asiatisch,Singapurisch,+493067928120
11,11,Back Snack Bar,165,"[{'phone': [{'value': '+493039101643'}], 'www': [{'value': 'backsnackbar.eu', 'categories': [{'id': '100-1000-0009'}]}, {'value': 'http://jazzmade.jimdo.com', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0000'}]}]}]",,13.32593,52.52191,"Back Snack Bar, Helmholtzstraße 27, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,27,Mon-Fri: 07:30 - 15:00,Sandwiches,Burger,+493039101643
12,12,Döner Kebabhaus,167,,,13.32939,52.524,"Döner Kebabhaus, Alt-Moabit 52, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,52,NaN,Nahöstlich,NaN,NaN
13,13,Agni,169,"[{'phone': [{'value': '+4917649220550'}], 'www': [{'value': 'http://www.restaurant-agni.de'}], 'email': [{'value': 'info@restaurant-agni.de'}]}]",,13.32724,52.52458,"Agni, Kaiserin-Augusta-Allee 1, 10553 Berlin, Deutschland",Moabit,10553,Kaiserin-Augusta-Allee,1,"Mon-Thu: 11:00 - 15:00, 18:00 - 22:00",Asiatisch,Indisch,+4917649220550
14,14,Burger Heaven,181,"[{'phone': [{'value': '+493039742377'}, {'value': '+49493039742377', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0009'}]}], 'www': [{'value': 'http://www.burgerheaven.de', 'categories': [{'id': '100-1000-0000'}]}]}]",,13.32567,52.52186,"Burger Heaven, Helmholtzstraße 28, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,28,Mon-Fri: 10:00 - 19:00,Burger,Amerikanisch,+493039742377
15,15,Ihr Meisterbäcker,195,[{'phone': [{'value': '+493065708496'}]}],,13.32777,52.52133,"Ihr Meisterbäcker, Franklinstraße 19, 10587 Berlin, Deutschland",Charlottenburg,10587,Franklinstraße,19,Mon-Fri: 06:30 - 19:00,Sandwiches,NaN,+493065708496
16,16,Il Pozzetto,205,"[{'phone': [{'value': '+49303996780'}, {'value': '+4949303996780'}], 'www': [{'value': 'www.ilpozzetto.de', 'categories': [{'id': '100-1000-0000'}]}], 'email': [{'value': 'info@ilpozzetto.de', 'categories': [{'id': '100-1000-0000'}]}]}]",,13.32527,52.52179,"Il Pozzetto, Helmholtzstraße 30, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,30,Mon-Fri: 12:00 - 23:00,NaN,NaN,+49303996780
17,17,Ya-MAN Caribbean Soul Food,205,"[{'phone': [{'value': '+491737206249'}, {'value': '+493039808917'}], 'www': [{'value': 'http://spark.adobe.com/page/Ish2qbPEQuCkJ'}, {'value': 'http://www.ya-man.info'}]}]",,13.32964,52.52435,"Ya-MAN Caribbean Soul Food, Gotzkowskystraße 17, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,17,Mon-Sun: 17:00 - 21:00,Karibisch,Amerikanisch - Soul Food,+491737206249
18,18,Cucina Italiana Berlin,214,"[{'phone': [{'value': '+493096516211'}], 'www': [{'value': 'http://www.lisola-berlin.de'}]}]",,13.33007,52.52415,"Cucina Italiana Berlin, Gotzkowskystraße 23, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,23,Mon-Sun: 12:00 - 23:00,Italienisch,NaN,+493096516211
19,19,Angon,214,"[{'phone': [{'value': '+493039805648'}, {'value': '+4930609887444', 'categories': [{'id': '100-1000-0000'}]}], 'www': [{'value': 'https://www.angon-berlin.de', 'categories': [{'id': '100-1000-0000'}]}]}]",,13.33007,52.52415,"Angon, Gotzkowskystraße 23, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,23,Mon-Sun: 11:30 - 22:00,Asiatisch,Vietnamesisch,+493039805648
20,20,Xinh City,214,,,13.33007,52.52415,"Xinh City, Gotzkowskystraße 23, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,23,Mon-Fri: 11:00 - 23:00,Asiatisch,Thailändisch,NaN
21,21,Focaccia,218,[{'phone': [{'value': '+4917626123823'}]}],,13.33026,52.52403,"Focaccia, Alt-Moabit 51, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,51,Mon-Fri: 12:00 - 18:00,Italienisch,Fastfood,+4917626123823
22,22,Lal Haweli,218,"[{'phone': [{'value': '+493039905626'}], 'www': [{'value': 'http://lalhaweli.foodpearl.com'}, {'value': 'https://www.facebook.com/pages/Lal-Haweli/145052635554683'}]}]",,13.33026,52.52403,"Lal Haweli, Alt-Moabit 51, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,51,Mon-Sun: 11:00 - 23:00,NaN,NaN,+493039905626
23,23,Il Baretto,220,"[{'phone': [{'value': '+4915251069815', 'categories': [{'id': '100-1000-0000'}]}, {'value': '+4993043055929'}]}]",,13.32632,52.52493,"Il Baretto, Kaiserin-Augusta-Allee 4, 10553 Berlin, Deutschland",Moabit,10553,Kaiserin-Augusta-Allee,4,"Mon-Fri, Sun: 16:00 - 22:00",Pizza,Naturkost/Vollwert,+4915251069815
24,24,Meine Mama,228,"[{'phone': [{'value': '+491632588362', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0001'}, {'id': '700-7200-0253'}]}, {'value': '+493096597642'}], 'www': [{'value': 'http://www.meine-mama.berlin', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0001'}, {'id': '700-7200-0253'}]}, {'value': 'https://www.facebook.com/meine.mama.berlin', 'categories': [{'id': '100-1000-0000'}]}]}]",,13.32753,52.52102,"Meine Mama, Franklinstraße 21, 10587 Berlin, Deutschland",Charlottenburg,10587,Franklinstraße,21,Mon-Fri: 08:00 - 18:00,International,Bistro-Küche,+491632588362
25,25,Dinette,229,"[{'phone': [{'value': '+493039833985'}, {'value': '+4939833727'}], 'www': [{'value': 'dinette-berlin.de'}], 'email': [{'value': 'info@dinette-berlin.de'}]}]",,13.32429,52.52234,"Dinette, Hallerstraße 28, 10587 Berlin, Deutschland",Charlottenburg,10587,Hallerstraße,28,Mon-Fri: 10:00 - 17:00,Italienisch,Steakhaus,+493039833985
26,26,Nikko,229,[{'phone': [{'value': '+4917655591010'}]}],,13.32429,52.52234,"Nikko, Hallerstraße 28, 10587 Berlin, Deutschland",Charlottenburg,10587,Hallerstraße,28,"Mon, Wed-Fri: 11:00 - 21:30",Asiatisch,Japanisch,+4917655591010
27,27,Da Meme,241,"[{'phone': [{'value': '+493039835990'}], 'www': [{'value': 'http://pizzeriadameme-berlin.de'}]}]",,13.33016,52.52447,"Da Meme, Gotzkowskystraße 24, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,24,Mon-Sun: 18:00 - 03:00,Italienisch,Pizza,+493039835990
28,28,Kokita Pizza,250,"[{'phone': [{'value': '+493039876009'}], 'www': [{'value': 'http://www.kokita-pizza.de'}]}]",,13.33018,52.52459,"Kokita Pizza, Gotzkowskystraße 25, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,25,NaN,Mediterran,Pizza,+493039876009
29,29,Maharadsch,250,"[{'phone': [{'value': '+493039105141'}], 'www': [{'value': 'http://www.maharadsch.de', 'categories': [{'id': '100-1000-0000'}]}], 'email': [{'value': 'abbas@maharadsch.net', 'categories': [{'id': '100-1000-0000'}]}]}]",,13.33018,52.52459,"Maharadsch, Gotzkowskystraße 25, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,25,Mon-Fri: 12:00 - 23:59,Indisch,Asiatisch,+493039105141
30,30,1811,252,"[{'phone': [{'value': '+4917672401413'}], 'www': [{'value': 'http://www.bistro-1811.eatbu.com'}]}]",,13.32582,52.52511,"1811, Kaiserin-Augusta-Allee 5, 10553 Berlin, Deutschland",Moabit,10553,Kaiserin-Augusta-Allee,5,NaN,NaN,NaN,+4917672401413
31,31,Imaki Today,253,[{'phone': [{'value': '+493055077688'}]}],,13.32452,52.52166,"Imaki Today, Helmholtzstraße 31, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,31,NaN,Asiatisch,Vietnamesisch,+493055077688
32,32,Sancho Panza,258,"[{'phone': [{'value': '+4915777163904'}, {'value': '+493039840066'}]}]",,13.33085,52.52413,"Sancho Panza, Alt-Moabit 49, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,49,Tue-Sun: 12:00 - 23:59,Spanisch,Spanisch - Tapas,+4915777163904
33,33,Bistro Quattro Punti - im Audi Zentrum,260,,,13.3273,52.52073,"Bistro Quattro Punti - im Audi Zentrum, Franklinstraße 23, 10587 Berlin, Deutschland",Charlottenburg,10587,Franklinstraße,23,NaN,Italienisch,NaN,NaN
34,34,Einstein Kaffee,269,"[{'phone': [{'value': '+493093931282', 'categories': [{'id': '600-6900-0096'}]}, {'value': '+493093931285', 'categories': [{'id': '100-1100-0010'}, {'id': '600-6300-0064'}]}, {'value': '+493093931290'}], 'fax': [{'value': '030 93931281', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0000'}]}, {'value': '030 93931294', 'categories': [{'id': '100-1100-0000'}]}], 'www': [{'value': 'http://kaffee-online-bestellen.de', 'categories': [{'id': '100-1100-0000'}]}, {'value': 'http://www.einstein-coffeeshops.com', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0000'}]}, {'value': 'http://www.einstein-kaffee.de/en/cafe/berlin/rosterei', 'categories': [{'id': '100-1000-0000'}]}]}]","[{'id': '29823', 'name': 'Einstein Kaffee'}]",13.32798,52.52067,"Einstein Kaffee, Franklinstraße 12, 10587 Berlin, Deutschland",Charlottenburg,10587,Franklinstraße,12,Mon-Fri: 08:30 - 18:00,NaN,NaN,+493093931282
35,35,Cafeteria im Ptz,276,"[{'phone': [{'value': '+493065839897'}], 'www': [{'value': 'http://www.cafeteria-im-ptz.de'}]}]",,13.32338,52.52326,"Cafeteria im Ptz, Pascalstraße 13, 10587 Berlin, Deutschland",Charlottenburg,10587,Pascalstraße,13,NaN,NaN,NaN,+493065839897
36,36,Freddy Leck,289,"[{'phone': [{'value': '+493050916652'}], 'www': [{'value': 'http://www.freddy-leck-sein-waschsalon.de'}], 'email': [{'value': 'info@freddy-leck.de', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0000'}]}]}]",,13.32985,52.52522,"Freddy Leck, Gotzkowskystraße 11, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,11,Mon-Sun: 08:00 - 22:00,NaN,NaN,+493050916652
37,37,Hafis,290,"[{'phone': [{'value': '+493039749937'}], 'fax': [{'value': '030 39749939'}], 'www': [{'value': 'http://www.restaurant-hafis.com'}, {'value': 'http://www.restaurant-hafis.de'}], 'email': [{'value': 'info@restaurant-hafis.com'}]}]",,13.3313,52.52421,"Hafis, Alt-Moabit 47, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,47,Mon-Sat: 10:00 - 20:00,Nahöstlich,NaN,+493039749937
38,38,Tam Giang Bistro,292,"[{'phone': [{'value': '+493099409853'}], 'www': [{'value': 'http://www.tamgiangbistro.de'}]}]",,13.32393,52.52155,"Tam Giang Bistro, Helmholtzstraße 33, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,33,Mon-Sat: 10:00 - 20:45,Chinesisch,NaN,+493099409853
39,39,An Nam,299,"[{'phone': [{'value': '+493039103729'}], 'www': [{'value': 'http://www.annamsushivietnamesethaicuisine.de'}, {'value': 'http://www.asiaannam.de'}]}]",,13.32987,52.52532,"An Nam, Gotzkowskystraße 10, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,10,Mon-Fri: 11:30 - 22:00,Thailändisch,Asiatisch,+493039103729
40,40,Kaffe Klick,305,,,13.33152,52.52425,"Kaffe Klick, Alt-Moabit 46, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,46,NaN,NaN,NaN,NaN
41,41,Cocktailbar Zeitlos,307,"[{'phone': [{'value': '+493030873925'}], 'fax': [{'value': '030 30873926', 'categories': [{'id': '200-2000-0011'}]}], 'www': [{'value': 'http://www.cocktailbarzeitlos.de'}], 'email': [{'value': 'info@zeitlos.com', 'categories': [{'id': '200-2000-0011'}]}]}]",,13.32769,52.52031,"Cocktailbar Zeitlos, Franklinstraße 10, 10587 Berlin, Deutschland",Charlottenburg,10587,Franklinstraße,10,"Mon-Thu, Sun: 17:00 - 01:00",NaN,NaN,+493030873925
42,42,Lunch and More,340,"[{'phone': [{'value': '+493039889596'}], 'www': [{'value': 'http://www.lunchandmore.de'}]}]",,13.32246,52.52342,"Lunch and More, Pascalstraße 10, 10587 Berlin, Deutschland",Charlottenburg,10587,Pascalstraße,10,Mon-Fri: 08:00 - 15:00,International,NaN,+493039889596
43,43,Apna Punjab,342,"[{'phone': [{'value': '+493003039876000', 'categories': [{'id': '100-1000-0000'}]}, {'value': '+493039876000'}], 'www': [{'value': 'http://apna-punjab.eatbu.com', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'http://apnaindia.de', 'categories': [{'id': '100-1000-0000'}]}]}]",,13.33205,52.52435,"Apna Punjab, Alt-Moabit 44, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,44,Mon-Fri: 17:00 - 23:00,Indisch,NaN,+493003039876000
44,44,Empire Lounge,344,"[{'phone': [{'value': '+4917621736571', 'categories': [{'id': '100-1000-0001'}, {'id': '200-2000-0000'}, {'id': '200-2000-0012'}]}], 'mobile': [{'value': '+4917621736571'}], 'www': [{'value': 'https://www.instagram.com/empire_shishabar', 'categories': [{'id': '100-1000-0001'}, {'id': '200-2000-0000'}, {'id': '200-2000-0012'}]}]}]",,13.33229,52.52401,"Empire Lounge, Alt-Moabit 72, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,72,NaN,NaN,NaN,+4917621736571
45,45,Il Pranzetto,375,"[{'phone': [{'value': '+493080920636'}], 'www': [{'value': 'http://www.il-pranzetto.de'}]}]",,13.3243,52.52585,"Il Pranzetto, Reuchlinstraße 2, 10553 Berlin, Deutschland",Moabit,10553,Reuchlinstraße,2,Mon-Fri: 08:00 - 17:00,Italienisch,NaN,+493080920636
46,46,Burgerme,380,"[{'phone': [{'value': '+4930467247467'}], 'fax': [{'value': '089 458140189', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0009'}]}], 'www': [{'value': 'https://www.burgerme.de'}], 'email': [{'value': 'info@burgerme.de', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0009'}]}]}]",,13.33007,52.52609,"Burgerme, Gotzkowskystraße 7, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,7,Mon-Sun: 11:00 - 23:00,Burger,Amerikanisch,+4930467247467
47,47,Eintopf,380,"[{'phone': [{'value': '+491737916081'}], 'www': [{'value': 'http://www.qype.com/place/2316748-Eintopf-Berlin'}]}]",,13.33007,52.52609,"Eintopf, Gotzkowskystraße 7, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,7,Mon-Fri: 11:00 - 15:00,Suppen,Deutsch,+491737916081
48,48,Pizza Pasta,381,[{'phone': [{'value': '+493089758308'}]}],,13.33281,52.52411,"Pizza Pasta, Alt-Moabit 73A, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,73A,"Mon-Thu, Sun: 10:00 - 23:00",Italienisch,Pizza,+493089758308
49,49,Cafe Mio,381,[{'phone': [{'value': '+491775906818'}]}],,13.33281,52.52411,"Cafe Mio, Alt-Moabit 73A, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,73A,NaN,NaN,NaN,+491775906818
50,50,The Hummusapiens Wraps,381,"[{'phone': [{'value': '+493098421876'}], 'www': [{'value': 'https://the-hummusapiens.eatbu.com/?lang=de'}], 'email': [{'value': 'kontakt@the-hummusapiens.de'}]}]",,13.33281,52.52411,"The Hummusapiens Wraps, Alt-Moabit 73A, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,73A,Mon-Sun: 11:00 - 23:00,Nahöstlich,NaN,+493098421876
51,51,Amore E Pace,381,[{'phone': [{'value': '+493036461890'}]}],,13.33281,52.52411,"Amore E Pace, Alt-Moabit 73A, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,73A,Mon-Sun: 11:00 - 24:00,Italienisch,Mediterran,+493036461890
52,52,Sushirolls,381,"[{'phone': [{'value': '+493075566578'}], 'www': [{'value': 'http://sushirolls.de'}]}]",,13.33281,52.52411,"Sushirolls, Alt-Moabit 73A, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,73A,Mon-Fri: 12:00 - 18:00,Asiatisch,Japanisch - Sushi,+493075566578
53,53,Eventlocation Talk About Race,381,"[{'phone': [{'value': '+493036287173'}], 'www': [{'value': 'http://m.facebook.com/Bistro.Franklin8', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0001'}]}, {'value': 'http://www.eventlocation-talk-about-race.de', 'categories': [{'id': '100-1000-0000'}, {'id': '200-2000-0011'}]}, {'value': 'http://www.talkaboutrace.de', 'categories': [{'id': '100-1000-0001'}]}]}]",,13.32717,52.51965,"Eventlocation Talk About Race, Franklinstraße 8, 10587 Berlin, Deutschland",Charlottenburg,10587,Franklinstraße,8,Mon-Fri: 08:30 - 16:30,Deutsch,International,+493036287173
54,54,Bauernstube,384,"[{'phone': [{'value': '+49303936798'}, {'value': '+4949303936798'}], 'www': [{'value': 'http://www.taiwanesischebauernstube.de'}]}]",,13.32254,52.52134,"Bauernstube, Morsestraße 3, 10587 Berlin, Deutschland",Charlottenburg,10587,Morsestraße,3,Mon-Fri: 11:00 - 21:30,NaN,NaN,+49303936798
55,55,Modo Mio,384,"[{'phone': [{'value': '+493039880668'}], 'www': [{'value': 'http://modomio-berlin.de'}, {'value': 'https://www.bares-berlin.de/modo-mio'}], 'email': [{'value': 'info@modomio-berlin.de'}]}]",,13.32254,52.52134,"Modo Mio, Morsestraße 3, 10587 Berlin, Deutschland",Charlottenburg,10587,Morsestraße,3,"Mon-Wed, Fri: 11:00 - 18:00",Italienisch,Pizza,+493039880668
56,56,Sun Fat,394,"[{'phone': [{'value': '+49303995990'}, {'value': '+4949303995990', 'categories': [{'id': '100-1000-0000'}]}]}]",,13.3301,52.52623,"Sun Fat, Gotzkowskystraße 6, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,6,Mon-Fri: 11:00 - 21:00,Chinesisch,NaN,+49303995990
57,57,City Pizza,410,[{'phone': [{'value': '+493037476242'}]}],,13.33302,52.52452,"City Pizza, Alt-Moabit 40, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,40,Tue-Fri: 15:30 - 20:00,Italienisch,Pizza,+493037476242
58,58,Anatolische Küche,435,"[{'phone': [{'value': '+4915737481006'}], 'www': [{'value': 'http://de-de.facebook.com/AnatolischeKuche'}, {'value': 'http://www.anatolische-kueche.de'}, {'value': 'https://www.facebook.com/AnatolischeKuche'}]}]",,13.32208,52.52092,"Anatolische Küche, Helmholtzstraße 1A, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,1A,Mon-Fri: 10:00 - 16:30,Nahöstlich,Türkisch,+4915737481006
59,59,Green Rice,439,[{'phone': [{'value': '+493039883988'}]}],,13.32177,52.52117,"Green Rice, Helmholtzstraße 40, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,40,NaN,Vietnamesisch,NaN,+493039883988
60,60,Ecc European Catering Company,442,"[{'phone': [{'value': '+4930339887690'}], 'www': [{'value': 'http://www.eucacom.eu', 'categories': [{'id': '100-1000-0000'}, {'id': '700-7200-0253'}]}]}]",,13.32418,52.52651,"Ecc European Catering Company, Reuchlinstraße 10, 10553 Berlin, Deutschland",Moabit,10553,Reuchlinstraße,10,Mon-Fri: 07:00 - 18:00,Brauhaus,NaN,+4930339887690
61,61,Mia y Leo,444,"[{'phone': [{'value': '+493054887706'}], 'www': [{'value': 'http://m.facebook.com/miayleo', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0010'}]}]}]",,13.33386,52.52392,"Mia y Leo, Jagowstraße 26, 10555 Berlin, Deutschland",Moabit,10555,Jagowstraße,26,Mon-Fri: 09:00 - 18:00,Argentinisch,Europäisch,+493054887706
62,62,Taverna Phaestos,460,"[{'phone': [{'value': '+49303936915'}], 'www': [{'value': 'http://www.taverna-phaestos.de/'}], 'email': [{'value': 'mckyri@yahoo.de'}]}]",,13.33424,52.52292,"Taverna Phaestos, Jagowstraße 16, 10555 Berlin, Deutschland",Moabit,10555,Jagowstraße,16,Mon-Sun: 17:30 - 12:00,Europäisch,Griechisch,+49303936915
63,63,Ragazzo di Strada,460,"[{'phone': [{'value': '+493023924419'}], 'www': [{'value': 'http://m.facebook.com/pages/Ragazzo-di-Strada/161013057636530'}]}]",,13.33421,52.52261,"Ragazzo di Strada, Jagowstraße 14, 10555 Berlin, Deutschland",Moabit,10555,Jagowstraße,14,NaN,Italienisch,NaN,+493023924419
64,64,Master Wok's Asia Imbiss,462,[{'phone': [{'value': '+493039797180'}]}],,13.33419,52.52243,"Master Wok's Asia Imbiss, Jagowstraße 13, 10555 Berlin, Deutschland",Moabit,10555,Jagowstraße,13,Mon-Fri: 10:00 - 21:00,Chinesisch,NaN,+493039797180
65,65,Beirut-Express,469,[{'phone': [{'value': '+493052676058'}]}],,13.32808,52.52727,"Beirut-Express, Huttenstraße 72, 10553 Berlin, Deutschland",Moabit,10553,Huttenstraße,72,NaN,Libanesisch,NaN,+493052676058
66,66,Schrippe Oder Stulle,470,"[{'phone': [{'value': '+4915253673540'}, {'value': '+491775491579', 'categories': [{'id': '100-1100-0010'}]}], 'www': [{'value': 'https://www.facebook.com/Schrippe-oder-Stulle-268043460274817'}], 'email': [{'value': 'mail@armen-avakian.de', 'categories': [{'id': '100-1000-0000'}]}]}]",,13.32936,52.52713,"Schrippe Oder Stulle, Turmstraße 62, 10551 Berlin, Deutschland",Moabit,10551,Turmstraße,62,Mon-Fri: 05:00 - 18:00,Suppen,NaN,+4915253673540
67,67,Son Wok Asia,472,"[{'phone': [{'value': '+4915252472945'}], 'www': [{'value': 'http://sonwok-berlin.eatbu.com', 'categories': [{'id': '100-1000-0000'}]}]}]",,13.32777,52.52731,"Son Wok Asia, Huttenstraße 71, 10553 Berlin, Deutschland",Moabit,10553,Huttenstraße,71,Mon-Sat: 11:00 - 22:00,NaN,NaN,+4915252472945
68,68,Kanun,475,"[{'phone': [{'value': '+493083100255'}], 'www': [{'value': 'http://www.kanun-restaurant.de'}]}]",,13.32741,52.52734,"Kanun, Huttenstraße 70, 10553 Berlin, Deutschland",Moabit,10553,Huttenstraße,70,Mon-Sun: 11:00 - 23:59,Hotdogs,Hähnchen,+493083100255
69,69,Halis Kebap,475,,,13.33028,52.52698,"Halis Kebap, Gotzkowskystraße 1, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,1,NaN,Nahöstlich,NaN,NaN
